,age,pace,shooting,passing,dribbling,defending,physic,skill_dribbling,skill_fk_accuracy,skill_long_passing,skill_ball_control,value_eur,league_level
0,27,93,89,86,96,27,63,96,90,76,96,100500000,1
1,29,93,93,81,91,32,79,93,79,72,92,79000000,1
2,30,93,86,83,92,32,64,93,83,76,90,54500000,1
3,32,76,91,81,86,34,86,88,80,76,90,52500000,1
5,30,75,72,89,91,59,63,92,70,89,94,36000000,1
6,27,83,87,79,88,42,79,90,84,64,89,49500000,1
7,30,74,90,82,83,33,68,84,81,75,87,40500000,1
8,29,61,81,85,82,78,80,81,78,87,86,39000000,1
9,31,89,78,85,92,29,62,92,81,74,91,33000000,1
10,28,77,86,64,81,40,73,78,71,53,83,46500000,1
11,23,90,82,84,91,32,64,92,79,82,89,40500000,1
12,30,76,56,84,83,87,67,80,59,84,85,24500000,1
13,28,79,61,71,66,87,82,52,64,70,83,31500000,1
14,29,78,57,72,72,90,80,68,73,81,78,29000000,1
15,28,76,77,86,89,33,57,87,77,85,91,36500000,1
16,24,94,83,83,84,63,81,87,85,80,85,39000000,1
17,28,76,74,85,89,71,70,86,79,86,92,36500000,1
18,25,80,84,74,85,39,78,84,68,65,87,44000000,1
19,34,66,72,91,85,60,58,80,87,90,93,15500000,1
20,31,76,82,81,79,80,90,81,85,83,83,28500000,1
21,28,76,87,80,83,44,87,83,79,85,85,40000000,1
22,28,73,56,69,67,87,81,64,52,75,74,31500000,1
23,26,88,86,77,88,28,66,89,72,63,88,45500000,1
24,25,74,74,86,87,27,58,87,79,80,91,44000000,1
25,25,66,59,75,71,88,78,68,61,80,77,35500000,1
26,26,90,79,83,87,57,71,88,72,81,86,45500000,1
27,25,91,86,84,86,33,65,88,87,77,83,40000000,1
28,24,81,84,82,80,46,72,78,60,77,82,39000000,1
29,22,90,80,72,92,30,58,94,78,72,90,31000000,1
31,22,79,80,84,85,40,72,86,83,84,85,35000000,1
33,30,86,86,78,87,46,84,86,78,64,88,21000000,1
34,26,84,84,75,82,30,74,82,73,47,85,27000000,1
36,25,53,61,72,68,84,85,65,54,77,74,21000000,1
37,26,74,75,84,87,31,60,85,81,78,88,27000000,1
38,27,79,83,70,80,41,81,80,77,50,83,25500000,1
39,25,82,83,63,79,40,88,82,59,48,82,26500000,1
40,27,78,78,80,81,81,83,80,65,79,84,23000000,1
41,24,58,81,89,84,58,69,84,83,90,86,23000000,1
42,25,77,50,66,69,83,82,67,26,74,76,21000000,1
43,25,56,59,78,75,81,81,74,68,78,83,20000000,1
44,22,80,74,82,89,35,63,90,74,77,90,21000000,1
46,35,43,69,91,82,55,59,78,93,95,92,6000000,1
47,32,55,71,86,68,78,72,60,83,93,83,11500000,1
48,30,68,71,79,75,82,84,73,71,83,81,14500000,1
49,29,76,51,55,56,87,86,56,36,61,52,17500000,1
50,30,75,80,87,84,48,63,84,89,89,87,21000000,1
51,27,76,74,83,86,61,72,86,64,80,88,23000000,1
52,29,73,78,85,87,31,61,87,82,84,86,20000000,1
53,30,68,85,64,72,32,73,69,64,44,77,21000000,1
54,27,66,54,69,60,86,76,50,43,84,76,20500000,1
55,27,68,79,88,81,64,63,81,81,91,87,23000000,1
56,27,79,76,84,86,39,60,86,83,82,88,23000000,1
57,26,81,84,68,80,30,71,81,62,55,83,27000000,1
59,27,75,45,54,64,88,84,59,27,63,71,20500000,1
60,27,56,69,74,65,83,86,60,58,75,77,19500000,1
61,28,67,48,62,60,86,78,53,51,69,67,19000000,1
62,25,88,81,75,87,39,66,88,71,70,85,26500000,1
63,22,81,75,80,85,43,44,85,70,82,86,21000000,1
65,33,41,47,56,52,84,80,45,31,64,61,7000000,1
66,29,31,41,57,48,87,76,39,45,58,65,12500000,1
67,30,53,50,77,71,79,82,69,56,83,79,10500000,1
68,31,73,51,58,59,84,83,58,47,60,57,10000000,1
69,33,75,36,58,59,86,79,52,36,67,66,7000000,1
70,32,52,39,55,51,84,83,43,47,61,62,9000000,1
71,30,69,59,70,69,84,80,58,50,75,82,11500000,1
72,28,73,83,68,77,39,82,78,69,66,80,17000000,1
73,31,86,70,79,83,76,68,81,74,79,85,10000000,1
74,28,91,71,78,84,29,53,83,46,74,83,15500000,1
77,29,87,77,80,84,37,76,86,80,73,83,14500000,1
78,27,74,75,83,82,71,72,81,79,83,84,16500000,1
